,Medal,Beer Name,Brewery,City,State,County,Category,Year
1413,Gold,DBA (Double Barrel Ale),Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,Ordinary or Special Bitter,2015
1414,Silver,Spitfire Best Bitter,Flyers Restaurant and Brewery,Oak Harbor,WA,Island,Ordinary or Special Bitter,2015
1415,Bronze,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO,Boulder,Ordinary or Special Bitter,2015
1416,Gold,Spangalang Table Beer,Spangalang Brewery,Denver,CO,Denver,Other Belgian-Style Ale,2015
1417,Silver,Summer Rye Ale,Mayflower Brewing Co.,Plymouth,MA,Plymouth,Other Belgian-Style Ale,2015
1418,Bronze,Witty Moron,Stone Brewing World Bistro & Gardens - Liberty Station,San Diego,CA,San Diego,Other Belgian-Style Ale,2015
1419,Gold,Ursa Minor,McCoy's Public House,Kansas City,MO,Jackson,Other Strong Beer,2015
1420,Silver,Humboldt Brownie,Mad River Brewing Co.,Blue Lake,CA,Humboldt,Other Strong Beer,2015
1421,Bronze,Take Back the Streets,Piece Brewery,Chicago,IL,Cook,Other Strong Beer,2015
1422,Silver,Pumpkin Grinder,Mankato Brewery,Mankato,MN,Blue Earth,Pumpkin Beer,2015
1423,Bronze,The Great Pumpkin Ale,Great Basin Brewing Co. - Sparks,Sparks,NV,Washoe,Pumpkin Beer,2015
1424,Gold,Recalcitrant Dockhand,Black Star Co-op,Austin,TX,Travis,Robust Porter,2015
1425,Silver,Porter,Port City Brewing Co.,Alexandria,VA,Alexandria (city),Robust Porter,2015
1426,Bronze,Night Watchman,City Star Brewing,Berthoud,CO,Larimer,Robust Porter,2015
1427,Gold,Blitzkrieg Bock,Fat Head's Brewery - Portland,Portland,OR,Multnomah,Rye Beer,2015
1428,Silver,Concrete Dinosaur,Right Brain Brewery,Traverse City,MI,Grand Traverse,Rye Beer,2015
1429,Bronze,Pt. Bonita Rustic Lager,Headlands Brewing Co.,Mill Valley,CA,Marin,Rye Beer,2015
1430,Gold,MacPelican's Wee Heavy Ale,Pelican Pub & Brewery,Pacific City,OR,Tillamook,Scotch Ale,2015
1431,Silver,Black Lagoon Scottish Strong,Rip Current Brewery,San Marcos,CA,San Diego,Scotch Ale,2015
1432,Bronze,Real Heavy,Real Ale Brewing Co.,Blanco,TX,Blanco,Scotch Ale,2015
1433,Gold,Copper John Scotch Ale,Madison River Brewing Co.,Belgrade,MT,Gallatin,Scottish-Style Ale,2015
1434,Silver,Cold Smoke,KettleHouse Brewing Co.,Missoula,MT,Missoula,Scottish-Style Ale,2015
1435,Bronze,Barrio Rojo,Barrio Brewing Co.,Tucson,AZ,Pima,Scottish-Style Ale,2015
1436,Gold,BJ's LightSwitch Lager,BJ's Restaurant & Brewery - Temple,Temple,TX,Bell,Session Beer,2015
1437,Silver,MCA,21st Amendment Brewery Cafe,San Francisco,CA,San Francisco,Session Beer,2015
1438,Bronze,Guillaume,Pizza Port Ocean Beach,San Diego,CA,San Diego,Session Beer,2015
1439,Gold,The Coachman,Societe Brewing Co.,San Diego,CA,San Diego,Session India Pale Ale,2015
1440,Silver,Size 4,Steel Toe Brewing,St. Louis Park,MN,NOT KNOWN,Session India Pale Ale,2015
1441,Bronze,Nose Candy,Noble Ale Works,Anaheim,CA,Orange,Session India Pale Ale,2015
1442,Gold,Smoked Märzen,49th State Brewing Co.,Denali National Park,AK,NOT KNOWN,Smoke Beer,2015
1443,Silver,S.S.A.,Titletown Brewing Co.,Green Bay,WI,Brown,Smoke Beer,2015
1444,Bronze,Smokie Robbins,Lager Heads Brewing Co.,Medina,OH,Medina,Smoke Beer,2015
1445,Gold,Weißbier,Prost Brewing,Denver,CO,Denver,South German-Style Hefeweizen,2015
1446,Silver,Wild Wapiti Wheat,Elk Mountain Brewing Co.,Parker,CO,Douglas,South German-Style Hefeweizen,2015
1447,Bronze,Windansea Wheat,Karl Strauss Brewing Co.,San Diego,CA,San Diego,South German-Style Hefeweizen,2015
1448,Gold,Hog Cabin,Great South Bay Brewery,Bay Shore,NY,Suffolk,Specialty Beer,2015
1449,Silver,Hazelnut Brown Nectar,Rogue Ales,Newport,OR,Lincoln,Specialty Beer,2015
1450,Bronze,Pack Dog Peanut Butter Ale,Marley's Brewery & Grille,Bloomsburg,PA,Columbia,Specialty Beer,2015
1451,Gold,West O CocO,West O Beer,West Okoboji,IA,Dickinson,Sweet Stout or Cream Stout,2015
1452,Silver,Chocolate Milk Stout,Boxing Bear Brewing Co.,Albuquerque,NM,Bernalillo,Sweet Stout or Cream Stout,2015
1453,Bronze,The Husstler,Huss Brewing,Tempe,AZ,Maricopa,Sweet Stout or Cream Stout,2015
1454,Gold,Vienna Lager,Devils Backbone Brewing Co. - Outpost,Lexington,VA,Lexington (city),Vienna-Style Lager,2015
1455,Silver,Oktoberfest,Stoudts Brewing Co.,Adamstown,PA,Lancaster,Vienna-Style Lager,2015
1456,Bronze,Firebrick,August Schell Brewing Co.,New Ulm,MN,Brown,Vienna-Style Lager,2015
1457,Gold,Wild Warehouse,Wander Brewing,Bellingham,WA,Whatcom,Wood- and Barrel-Aged Beer,2015
1458,Silver,Palo Santo Aged Porter,Spellbound Brewing,Mount Holly,NJ,Burlington,Wood- and Barrel-Aged Beer,2015
1459,Bronze,Barrel Aged Brown Ale,Twin Peaks Brewery,Irving,TX,Dallas,Wood- and Barrel-Aged Beer,2015
1460,Gold,Veritas 015,The Lost Abbey,San Marcos,CA,San Diego,Wood- and Barrel-Aged Sour Beer,2015
1461,Silver,24 Frames Per Second,Our Mutual Friend Malt & Brew,Denver,CO,Denver,Wood- and Barrel-Aged Sour Beer,2015
1462,Bronze,Sour Opal,Firestone Walker Barrelworks,Buellton,CA,Santa Barbara,Wood- and Barrel-Aged Sour Beer,2015
1463,Gold,Melange A Trois,Nebraska Brewing Co.,La Vista,NE,Sarpy,Wood- and Barrel-Aged Strong Beer,2015
1464,Silver,Batch 666: Sympathy For The Devil,Sun King Brewing Co.,Indianapolis,IN,Marion,Wood- and Barrel-Aged Strong Beer,2015
1465,Bronze,Ska Face,SKA Brewing,Durango,CO,La Plata,Wood- and Barrel-Aged Strong Beer,2015
1466,Gold,Ctayt,AC Golden Brewing Co.,Golden,CO,Jefferson,Wood- and Barrel-Aged Strong Stout,2015
1467,Silver,Sherry Ink,Rhinegeist Brewing,Cincinnati,OH,Hamilton,Wood- and Barrel-Aged Strong Stout,2015
1468,Bronze,Dosvidanya,DESTIHL - Champaign,Champaign,IL,Champaign,Wood- and Barrel-Aged Strong Stout,2015
1469,Gold,2012 Great Scot!,Peticolas Brewing Co.,Dallas,TX,Dallas,Aged Beer,2014
1470,Silver,Saint Bob's Imperial Stout '07,Canteen Brew House,Albuquerque,NM,Bernalillo,Aged Beer,2014
1471,Bronze,Brother Dewey's Date Night,College Street Brewhouse & Pub,Lake Havasu City,AZ,Mohave,Aged Beer,2014
1472,Gold,White IPA,Badger Hill Brewing,St. Louis Park,MN,NOT KNOWN,American-Belgo-Style Ale,2014
1473,Silver,Belgian IPA,Gordon Biersch Brewery Restaurant - Rockville,Rockville,MD,Montgomery,American-Belgo-Style Ale,2014
1474,Bronze,Le Freak,Green Flash Brewing Co.,San Diego,CA,San Diego,American-Belgo-Style Ale,2014
1475,Gold,Colorado Native Amber Lager,AC Golden,Golden,CO,Jefferson,American-Style Amber Lager,2014
1476,Silver,Colorado Native Golden Lager,AC Golden,Golden,CO,Jefferson,American-Style Amber Lager,2014
1477,Bronze,Rocket Bike Lager,Moab Brewery,Moab,UT,Grand,American-Style Amber Lager,2014
1478,Gold,Dougie Style Amber Ale,Canteen Brew House,Albuquerque,NM,Bernalillo,American-Style Amber/Red Ale,2014
1479,Silver,Amber Waves Ale,Capitol City Brewing Co.,Arlington,VA,Arlington,American-Style Amber/Red Ale,2014
1480,Bronze,Rocco Red Ale,Bootlegger's Brewery,Fullerton,CA,Orange,American-Style Amber/Red Ale,2014
1481,Gold,Black IPA,Cannonball Creek Brewing Co.,Golden,CO,Jefferson,American-Style Black Ale,2014
1482,Silver,Black Hops Tactical IPA,Überbrew,Billings,MT,Yellowstone,American-Style Black Ale,2014
1483,Bronze,Turmoil,Barley Brown's Brew Pub,Baker City,OR,Baker,American-Style Black Ale,2014
1484,Gold,Beltane,Propolis Brewing,Port Townsend,WA,Jefferson,American-Style Brett Beer,2014
1485,Silver,Peche 'n Brett,Logsdon Organic Farm Brewery,Hood River,OR,Hood River,American-Style Brett Beer,2014
1486,Bronze,Curiosity No. 2,Creature Comforts Brewing Co.,Athens,GA,Clarke,American-Style Brett Beer,2014
1487,Gold,Face Down Brown,Telluride Brewing Co.,Telluride,CO,San Miguel,American-Style Brown Ale,2014
1488,Silver,Braggarts Brown Ale,Diebolt Brewing Co.,Denver,CO,Denver,American-Style Brown Ale,2014
1489,Bronze,Upslope Brown Ale,Upslope Brewing Co.,Boulder,CO,Boulder,American-Style Brown Ale,2014
1490,Gold,Primo,Pabst Brewing Co.,Los Angeles,CA,Los Angeles,American-Style Cream Ale,2014
1491,Silver,Old Style,Pabst Brewing Co.,Los Angeles,CA,Los Angeles,American-Style Cream Ale,2014
1492,Bronze,Colorado Cream Ale,Station 26 Brewing Co.,Denver,CO,Denver,American-Style Cream Ale,2014
1493,Gold,Lagerithm,Bottle Logic Brewing,Anaheim,CA,Orange,American-Style Dark Lager,2014
1494,Silver,Old Virginia Dark,Devils Backbone Brewing Co. - Outpost,Lexington,VA,Lexington (city),American-Style Dark Lager,2014
1495,Bronze,Shiner Bock,Spoetzl Brewery,Shiner,TX,Lavaca,American-Style Dark Lager,2014
1496,Gold,Raspberry Stout,Hardywood Park Craft Brewery,Richmond,VA,Richmond (city),American-Style Fruit Beer,2014
1497,Silver,Sleepyhead Passion Fruit,Coda Brewing Co.,Aurora,CO,Adams,American-Style Fruit Beer,2014
1498,Bronze,Apricot,Dry Dock Brewing Co. - North Dock,Aurora,CO,Adams,American-Style Fruit Beer,2014
1499,Gold,Breakside IPA,Breakside Brewery,Milwaukie,OR,Clackamas,American-Style India Pale Ale,2014
1500,Silver,GoneAway,Half Acre Beer Co.,Chicago,IL,Cook,American-Style India Pale Ale,2014
1501,Bronze,Bodhi,Columbus Brewing Co.,Columbus,OH,Franklin,American-Style India Pale Ale,2014
1502,Gold,Miller Lite,Miller Brewing Co.,Milwaukee,WI,Milwaukee,American-Style Lager or Light Lager,2014
1503,Silver,Coors Light,Coors Brewing Co.,Golden,CO,Jefferson,American-Style Lager or Light Lager,2014
1504,Bronze,Coors Banquet,Coors Brewing Co.,Golden,CO,Jefferson,American-Style Lager or Light Lager,2014
1505,Gold,Pre-Flight Pilsner,Airways Brewing Co.,Kent,WA,King,American-Style or International-Style Pilsener,2014
1506,Silver,Howdy Beer,The Post Brewing Co.,Lafayette,CO,Boulder,American-Style or International-Style Pilsener,2014
1507,Bronze,Remain In Light,Cambridge Brewing Co.,Cambridge,MA,Middlesex,American-Style or International-Style Pilsener,2014
1508,Gold,Grunion,Ballast Point Brewing & Spirits - Scripps Ranch,San Diego,CA,San Diego,American-Style Pale Ale,2014
1509,Silver,NYPA,Peekskill Brewery,Peekskill,NY,Westchester,American-Style Pale Ale,2014
1510,Bronze,Reef Donkey APA,Tampa Bay Brewing Co.,Tampa,FL,Hillsborough,American-Style Pale Ale,2014
1511,Gold,Cosmic Dust,The Rare Barrel,Berkeley,CA,Alameda,American-Style Sour Ale,2014
1512,Silver,Myrtle,The Commons Brewery,Portland,OR,Multnomah,American-Style Sour Ale,2014
1513,Bronze,Los Innovadores Kriek,Santa Fe Brewing Co.,Santa Fe,NM,Santa Fe,American-Style Sour Ale,2014
1514,Gold,Defender,Haymarket Pub & Brewery,Chicago,IL,Cook,American-Style Stout,2014
1515,Silver,Disorder,Barley Brown's Brew Pub,Baker City,OR,Baker,American-Style Stout,2014
1516,Bronze,P2P,10 Barrel Brewing Co.,Bend,OR,Deschutes,American-Style Stout,2014
1517,Gold,Scepter Head,Draught Works,Missoula,MT,Missoula,American-Style Strong Pale Ale,2014
1518,Silver,Fire Eagle,Austin Beerworks,Austin,TX,Travis,American-Style Strong Pale Ale,2014
1519,Bronze,Breakside Wanderlust IPA,Breakside Brewery,Milwaukie,OR,Clackamas,American-Style Strong Pale Ale,2014
1520,Gold,Red Dawn,Carson's Brewery,Evansville,IN,Vanderburgh,American-Style Wheat Beer,2014
1521,Silver,Yellow Armadillo,Thirsty Planet Brewing,Austin,TX,Travis,American-Style Wheat Beer,2014
1522,Bronze,Amber Waves,10 Barrel Brewing Co.,Bend,OR,Deschutes,American-Style Wheat Beer,2014
1523,Gold,Whitetail Wheat,Montana Brewing Co.,Billings,MT,Yellowstone,American-Style Wheat Beer With Yeast,2014
1524,Silver,Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,Multnomah,American-Style Wheat Beer With Yeast,2014
1525,Bronze,Wheatfish Wheat Lager,Great Northern Brewing Co.,Whitefish,MT,Flathead,American-Style Wheat Beer With Yeast,2014
1526,Gold,Perkuno's Hammer,Earth - Bread + Brewery,Philadelphia,PA,Philadelphia,Baltic-Style Porter,2014
1527,Silver,Black Eagle Baltic Porter,Black Tooth Brewing Co.,Sheridan,WY,Sheridan,Baltic-Style Porter,2014
1528,Bronze,Puddy Porter,Faction Brewing Co.,Alameda,CA,Alameda,Baltic-Style Porter,2014
1529,Gold,AleSmith Old Numbskull,AleSmith Brewing Co.,San Diego,CA,San Diego,Barley Wine-Style Ale,2014
1530,Silver,Mastiff Barleywine,Campbell Brewing Co.,Campbell,CA,Santa Clara,Barley Wine-Style Ale,2014
1531,Bronze,Galaxian,Bootlegger's Brewery,Fullerton,CA,Orange,Barley Wine-Style Ale,2014
1532,Gold,Grisette,Sly Fox Brewing Co.,Pottstown,PA,Montgomery,Belgian- and French-Style Ale,2014
1533,Silver,The Citizen,DC Brau Brewing Co.,Washington,DC,District of Columbia,Belgian- and French-Style Ale,2014
1534,Bronze,Barren Hill Biere De Extra,Barren Hill Tavern and Brewery,Lafayette Hill,PA,NOT KNOWN,Belgian- and French-Style Ale,2014
1535,Gold,Samuel Adams Tetravis,Boston Beer Co.,Boston,MA,Suffolk,Belgian-Style Abbey Ale,2014
1536,Silver,Sanitarium,Bier Brewery,Indianapolis,IN,Marion,Belgian-Style Abbey Ale,2014
1537,Bronze,Dubbel Entendre,Sound Brewery,Poulsbo,WA,Kitsap,Belgian-Style Abbey Ale,2014
1538,Gold,Jean-Claude Van Blond,Wit's End Brewing Co.,Denver,CO,Denver,Belgian-Style Blonde Ale or Pale Ale,2014
1539,Silver,Babe's Belgian Vanilla Blonde Ale,Babe's Bar-B-Que & Brewhouse,Rancho Mirage,CA,Riverside,Belgian-Style Blonde Ale or Pale Ale,2014
1540,Bronze,Rainmaker Ale,Stormcloud Brewing Co.,Frankfort,MI,NOT KNOWN,Belgian-Style Blonde Ale or Pale Ale,2014
1541,Gold,Raspberry Provincial,Funkwerks,Fort Collins,CO,Larimer,Belgian-Style Fruit Beer,2014
1542,Silver,Saison en Regalia,Roadhouse Brewing Co.,Jackson,WY,Teton,Belgian-Style Fruit Beer,2014
1543,Bronze,Poire du Pélican,Pelican Pub & Brewery,Pacific City,OR,Tillamook,Belgian-Style Fruit Beer,2014
1544,Gold,Benedictum,Real Ale Brewing Co.,Blanco,TX,Blanco,Belgian-Style Lambic or Sour Ale,2014
1545,Silver,Coolship Resurgam,Allagash Brewing Co.,Portland,ME,Cumberland,Belgian-Style Lambic or Sour Ale,2014
1546,Bronze,Jon Flanders,Tustin Brewing Co.,Tustin,CA,Orange,Belgian-Style Lambic or Sour Ale,2014
1547,Gold,Squatters Hell's Keep,Utah Brewers Cooperative,Salt Lake City,UT,Salt Lake,Belgian-Style Strong Specialty Ale,2014
1548,Silver,Thor's Hammer,Bastone Brewery,Royal Oak,MI,Oakland,Belgian-Style Strong Specialty Ale,2014
1549,Bronze,Golden Sabbath,Big Island Brewhaus,Kamuela,HI,NOT KNOWN,Belgian-Style Strong Specialty Ale,2014
1550,Gold,Golden Monkey,Victory Brewing Co.,Downingtown,PA,Chester,Belgian-Style Tripel,2014
1551,Silver,Bedotter,Iron Hill Brewery & Restaurant - Newark,Newark,DE,New Castle,Belgian-Style Tripel,2014
1552,Bronze,La Flama Dorada,Pizza Port Ocean Beach,Ocean Beach,CA,San Diego,Belgian-Style Tripel,2014
1553,Gold,White Ale,Saint Archer Brewing Co.,San Diego,CA,San Diego,Belgian-Style Witbier,2014
1554,Silver,Ommegang Witte,Brewery Ommegang,Cooperstown,NY,Otsego,Belgian-Style Witbier,2014
1555,Bronze,ZON Belgian-Style Witbier,Boulevard Brewing Co.,Kansas City,MO,Jackson,Belgian-Style Witbier,2014
1556,Gold,Troegenator,Tröegs Brewing Co.,Hershey,PA,Dauphin,Bock,2014
1557,Silver,Turbo Cougar,Devils Backbone Brewing Co. - Outpost,Lexington,VA,Lexington (city),Bock,2014
1558,Bronze,Winterbock,Triumph Brewing Co. of New Hope,New Hope,PA,Bucks,Bock,2014
1559,Gold,Class VI Golden Lager,Chama River Brewing Co.,Albuquerque,NM,Bernalillo,Bohemian-Style Pilsener,2014
1560,Silver,Patio Pounding Pilz,LowDown Brewery + Kitchen,Denver,CO,Denver,Bohemian-Style Pilsener,2014
1561,Bronze,Double Aught,Bear Republic Brewing Co.,Healdsburg,CA,Sonoma,Bohemian-Style Pilsener,2014
1562,Gold,Double Nut Brown,Mammoth Brewing Co.,Mammoth Lakes,CA,Mono,Brown Porter,2014
1563,Silver,Black Jack Porter,Left Hand Brewing Co.,Longmont,CO,Boulder,Brown Porter,2014
1564,Bronze,Power House Porter,Sockeye Brewing,Boise,ID,Ada,Brown Porter,2014
1565,Gold,Chocolatized,Pisgah Brewing Co.,Black Mountain,NC,Buncombe,Chocolate Beer,2014
1566,Silver,Death By Coconut,Oskar Blues Brewery,Longmont,CO,Boulder,Chocolate Beer,2014
1567,Bronze,Sweet Baby Jesus!,DuClaw Brewing Co.,Rosedale,MD,Baltimore,Chocolate Beer,2014
1568,Gold,HopFish,Flying Fish Brewing Co.,Somerdale,NJ,Camden,Classic English-Style Pale Ale,2014
1569,Silver,Caldera Ashland Amber,Caldera Brewing Co.,Ashland,OR,Jackson,Classic English-Style Pale Ale,2014
1570,Bronze,Extra Pale Ale,Summit Brewing Co.,Saint Paul,MN,Ramsey,Classic English-Style Pale Ale,2014
1571,Gold,Irish Table,Fonta Flora Brewery,Morganton,NC,Burke,Classic Irish-Style Dry Stout,2014
1572,Silver,Shaft House Stout,Dostal Alley Brewpub & Casino,Central City,CO,Gilpin,Classic Irish-Style Dry Stout,2014
1573,Bronze,Asphalt Jungle,Bagby Beer Co.,Oceanside,CA,San Diego,Classic Irish-Style Dry Stout,2014
1574,Gold,Mocha Machine,Beachwood BBQ & Brewing,Long Beach,CA,Los Angeles,Coffee Beer,2014
1575,Silver,Batshit Crazy,MobCraft Beer,Madison,WI,Dane,Coffee Beer,2014
1576,Bronze,Ascension,Community Beer Co.,Dallas,TX,Dallas,Coffee Beer,2014
1577,Gold,The Weasel,CB & Potts Restaurant & Brewery - Highlands Ranch,Highlands Ranch,CO,Douglas,Dortmunder or German-Style Oktoberfest,2014
1578,Silver,Rolling Thunder Dortmunder,Snake River Brewing,Jackson,WY,Teton,Dortmunder or German-Style Oktoberfest,2014
1579,Bronze,Move Back,The Sandlot,Denver,CO,Denver,Dortmunder or German-Style Oktoberfest,2014
1580,Gold,Sir William's English Brown Ale,Grapevine Craft Brewery,Grapevine,TX,Tarrant,English-Style Brown Ale,2014
1581,Bronze,Bonanza Brown Ale,Tenaya Creek Brewery,Las Vegas,NV,Clark,English-Style Brown Ale,2014
1582,Gold,Tumbleweed IPA,Lewis & Clark Brewing Co.,Helena,MT,Lewis and Clark,English-Style India Pale Ale,2014
1583,Silver,Gatecrasher IPA,Temperance Beer Co.,Evanston,IL,Cook,English-Style India Pale Ale,2014
1584,Bronze,Burton IPA,Iron Hill Brewery & Restaurant - Media,Media,PA,Delaware,English-Style India Pale Ale,2014
1585,Gold,Workman's Compensation,Lion Bridge Brewing Co.,Cedar Rapids,IA,Linn,English-Style Mild Ale,2014
1586,Silver,Mamoot Mild Ale,Logboat Brewing Co.,Columbia,MO,Boone,English-Style Mild Ale,2014
1587,Bronze,S.S. Minnow Mild Ale,Dry Dock Brewing Co. - South Dock,Aurora,CO,Adams,English-Style Mild Ale,2014
1588,Gold,True Blonde Ale,Ska Brewing Co.,Durango,CO,La Plata,English-Style Summer Ale,2014
1589,Silver,Ale 208,Grand Teton Brewing,Victor,ID,Teton,English-Style Summer Ale,2014
1590,Bronze,Surfer's Summer Ale,Pelican Brewing Co.,Tillamook,OR,Tillamook,English-Style Summer Ale,2014
1591,Gold,Chuckanut Dunkel,Chuckanut Brewery,Bellingham,WA,Whatcom,European-Style Dunkel,2014
1592,Silver,Buoy Dunkel,Buoy Beer Co.,Astoria,OR,Clatsop,European-Style Dunkel,2014
1593,Bronze,Dunkles,Gordon Biersch Brewing Co.,San Jose,CA,Santa Clara,European-Style Dunkel,2014
1594,Gold,Key Lime Pie,Short's Brewing Co.,Elk Rapids,MI,Antrim,Experimental Beer,2014
1595,Silver,Redrock Paardebloem,Redrock Brewing Co.,Salt Lake City,UT,Salt Lake,Experimental Beer,2014
1596,Bronze,Black Project #1,Former Future Brewing Co.,Denver,CO,Denver,Experimental Beer,2014
1597,Gold,Public Ale,Community Beer Co.,Dallas,TX,Dallas,Extra Special Bitter,2014
1598,Silver,RedFish,Flying Fish Brewing Co.,Somerdale,NJ,Camden,Extra Special Bitter,2014
1599,Bronze,14° ESB,Bent Paddle Brewing Co.,Duluth,MN,St. Louis,Extra Special Bitter,2014
1600,Gold,Cucumber Crush,10 Barrel Brewing Co.,Bend,OR,Deschutes,Field Beer,2014
1601,Silver,3 Pepper Ale,Rock Bottom Breweries,Broomfield,CO,Broomfield,Field Beer,2014
1602,Bronze,Elektrick Cukumbahh,Trinity Brewing Co.,Colorado Springs,CO,El Paso,Field Beer,2014
1603,Gold,Void of Light,Gun Hill Brewing Co.,Bronx,NY,Bronx,Foreign-Style Stout,2014
1604,Silver,Wooster New Stout,JAFB Wooster Brewery,Wooster,OH,Wayne,Foreign-Style Stout,2014
1605,Bronze,San Quentin's Breakout Stout,Marin Brewing Co.,Larkspur,CA,Marin,Foreign-Style Stout,2014
1606,Gold,Daily Wages,Brasserie Saint James,Reno,NV,Washoe,French- and Belgian-Style Saison,2014
1607,Silver,Un Atout,Beachwood BBQ & Brewing,Long Beach,CA,Los Angeles,French- and Belgian-Style Saison,2014
1608,Bronze,Saison-Brett,Boulevard Brewing Co.,Kansas City,MO,Jackson,French- and Belgian-Style Saison,2014
1609,Gold,Fresh Hop Pallet Jack IPA,Barley Brown's Brew Pub,Baker City,OR,Baker,Fresh or Wet Hop Ale,2014
1610,Silver,Fresh Hop Superpower IPA,Comrade Brewing Co.,Denver,CO,Denver,Fresh or Wet Hop Ale,2014
1611,Bronze,Acequia IPA,Bosque Brewing Co.,Albuquerque,NM,Bernalillo,Fresh or Wet Hop Ale,2014
1612,Gold,Apricot Ale,Pyramid Breweries,Seattle,WA,King,Fruit Wheat Beer,2014
1613,Silver,Peachy Peach,Pagosa Brewing & Grill,Pagosa Springs,CO,Archuleta,Fruit Wheat Beer,2014
1614,Bronze,Wasatch Apricot Hefeweizen,Wasatch Brewery,Park City,UT,Summit,Fruit Wheat Beer,2014
1615,Gold,Red Alt,White Bluffs Brewing,Richland,WA,Benton,German-Style Altbier,2014
1616,Silver,Dusseldorf Altbier,Redwood Curtain Brewing Co.,Arcata,CA,Humboldt,German-Style Altbier,2014
1617,Bronze,Alt Bier,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,NOT KNOWN,German-Style Altbier,2014
1618,Gold,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,Suffolk,German-Style Doppelbock or Eisbock,2014
1619,Silver,The Kaiser,Avery Brewing Co.,Boulder,CO,Boulder,German-Style Doppelbock or Eisbock,2014
1620,Bronze,The Regulator,Rahr & Sons Brewing Co.,Fort Worth,TX,NOT KNOWN,German-Style Doppelbock or Eisbock,2014
1621,Gold,Laimas Kolsch,FATE Brewing Co.,Boulder,CO,Boulder,German-Style Kölsch,2014
1622,Silver,Sun Dazed,Old Town Brewing Co.,Portland,OR,Multnomah,German-Style Kölsch,2014
1623,Bronze,Canoe Paddler,Leinenkugel Brewing Co.,Chippewa Falls,WI,Chippewa,German-Style Kölsch,2014
1624,Gold,Capital Oktoberfest,Capital Brewery Co.,Middleton,WI,Dane,German-Style Märzen,2014
