,Medal,Beer Name,Brewery,City,State,Category,Year
1506,Silver,Howdy Beer,The Post Brewing Co.,Lafayette,CO,American-Style or International-Style Pilsener,2014
1507,Bronze,Remain In Light,Cambridge Brewing Co.,Cambridge,MA,American-Style or International-Style Pilsener,2014
1508,Gold,Grunion,Ballast Point Brewing & Spirits - Scripps Ranch,San Diego,CA,American-Style Pale Ale,2014
1509,Silver,NYPA,Peekskill Brewery,Peekskill,NY,American-Style Pale Ale,2014
1510,Bronze,Reef Donkey APA,Tampa Bay Brewing Co.,Tampa,FL,American-Style Pale Ale,2014
1511,Gold,Cosmic Dust,The Rare Barrel,Berkeley,CA,American-Style Sour Ale,2014
1512,Silver,Myrtle,The Commons Brewery,Portland,OR,American-Style Sour Ale,2014
1513,Bronze,Los Innovadores Kriek,Santa Fe Brewing Co.,Santa Fe,NM,American-Style Sour Ale,2014
1514,Gold,Defender,Haymarket Pub & Brewery,Chicago,IL,American-Style Stout,2014
1515,Silver,Disorder,Barley Brown's Brew Pub,Baker City,OR,American-Style Stout,2014
1516,Bronze,P2P,10 Barrel Brewing Co.,Bend,OR,American-Style Stout,2014
1517,Gold,Scepter Head,Draught Works,Missoula,MT,American-Style Strong Pale Ale,2014
1518,Silver,Fire Eagle,Austin Beerworks,Austin,TX,American-Style Strong Pale Ale,2014
1519,Bronze,Breakside Wanderlust IPA,Breakside Brewery,Milwaukie,OR,American-Style Strong Pale Ale,2014
1520,Gold,Red Dawn,Carson's Brewery,Evansville,IN,American-Style Wheat Beer,2014
1521,Silver,Yellow Armadillo,Thirsty Planet Brewing,Austin,TX,American-Style Wheat Beer,2014
1522,Bronze,Amber Waves,10 Barrel Brewing Co.,Bend,OR,American-Style Wheat Beer,2014
1523,Gold,Whitetail Wheat,Montana Brewing Co.,Billings,MT,American-Style Wheat Beer With Yeast,2014
1524,Silver,Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,American-Style Wheat Beer With Yeast,2014
1525,Bronze,Wheatfish Wheat Lager,Great Northern Brewing Co.,Whitefish,MT,American-Style Wheat Beer With Yeast,2014
1526,Gold,Perkuno's Hammer,Earth - Bread + Brewery,Philadelphia,PA,Baltic-Style Porter,2014
1527,Silver,Black Eagle Baltic Porter,Black Tooth Brewing Co.,Sheridan,WY,Baltic-Style Porter,2014
1528,Bronze,Puddy Porter,Faction Brewing Co.,Alameda,CA,Baltic-Style Porter,2014
1529,Gold,AleSmith Old Numbskull,AleSmith Brewing Co.,San Diego,CA,Barley Wine-Style Ale,2014
1530,Silver,Mastiff Barleywine,Campbell Brewing Co.,Campbell,CA,Barley Wine-Style Ale,2014
1531,Bronze,Galaxian,Bootlegger's Brewery,Fullerton,CA,Barley Wine-Style Ale,2014
1532,Gold,Grisette,Sly Fox Brewing Co.,Pottstown,PA,Belgian- and French-Style Ale,2014
1533,Silver,The Citizen,DC Brau Brewing Co.,Washington,DC,Belgian- and French-Style Ale,2014
1534,Bronze,Barren Hill Biere De Extra,Barren Hill Tavern and Brewery,Lafayette Hill,PA,Belgian- and French-Style Ale,2014
1535,Gold,Samuel Adams Tetravis,Boston Beer Co.,Boston,MA,Belgian-Style Abbey Ale,2014
1536,Silver,Sanitarium,Bier Brewery,Indianapolis,IN,Belgian-Style Abbey Ale,2014
1537,Bronze,Dubbel Entendre,Sound Brewery,Poulsbo,WA,Belgian-Style Abbey Ale,2014
1538,Gold,Jean-Claude Van Blond,Wit's End Brewing Co.,Denver,CO,Belgian-Style Blonde Ale or Pale Ale,2014
1539,Silver,Babe's Belgian Vanilla Blonde Ale,Babe's Bar-B-Que & Brewhouse,Rancho Mirage,CA,Belgian-Style Blonde Ale or Pale Ale,2014
1540,Bronze,Rainmaker Ale,Stormcloud Brewing Co.,Frankfort,MI,Belgian-Style Blonde Ale or Pale Ale,2014
1541,Gold,Raspberry Provincial,Funkwerks,Fort Collins,CO,Belgian-Style Fruit Beer,2014
1542,Silver,Saison en Regalia,Roadhouse Brewing Co.,Jackson,WY,Belgian-Style Fruit Beer,2014
1543,Bronze,Poire du Pélican,Pelican Pub & Brewery,Pacific City,OR,Belgian-Style Fruit Beer,2014
1544,Gold,Benedictum,Real Ale Brewing Co.,Blanco,TX,Belgian-Style Lambic or Sour Ale,2014
1545,Silver,Coolship Resurgam,Allagash Brewing Co.,Portland,ME,Belgian-Style Lambic or Sour Ale,2014
1546,Bronze,Jon Flanders,Tustin Brewing Co.,Tustin,CA,Belgian-Style Lambic or Sour Ale,2014
1547,Gold,Squatters Hell's Keep,Utah Brewers Cooperative,Salt Lake City,UT,Belgian-Style Strong Specialty Ale,2014
1548,Silver,Thor's Hammer,Bastone Brewery,Royal Oak,MI,Belgian-Style Strong Specialty Ale,2014
1549,Bronze,Golden Sabbath,Big Island Brewhaus,Kamuela,HI,Belgian-Style Strong Specialty Ale,2014
1550,Gold,Golden Monkey,Victory Brewing Co.,Downingtown,PA,Belgian-Style Tripel,2014
1551,Silver,Bedotter,Iron Hill Brewery & Restaurant - Newark,Newark,DE,Belgian-Style Tripel,2014
1552,Bronze,La Flama Dorada,Pizza Port Ocean Beach,Ocean Beach,CA,Belgian-Style Tripel,2014
1553,Gold,White Ale,Saint Archer Brewing Co.,San Diego,CA,Belgian-Style Witbier,2014
1554,Silver,Ommegang Witte,Brewery Ommegang,Cooperstown,NY,Belgian-Style Witbier,2014
1555,Bronze,ZON Belgian-Style Witbier,Boulevard Brewing Co.,Kansas City,MO,Belgian-Style Witbier,2014
1556,Gold,Troegenator,Tröegs Brewing Co.,Hershey,PA,Bock,2014
1557,Silver,Turbo Cougar,Devils Backbone Brewing Co. - Outpost,Lexington,VA,Bock,2014
1558,Bronze,Winterbock,Triumph Brewing Co. of New Hope,New Hope,PA,Bock,2014
1559,Gold,Class VI Golden Lager,Chama River Brewing Co.,Albuquerque,NM,Bohemian-Style Pilsener,2014
1560,Silver,Patio Pounding Pilz,LowDown Brewery + Kitchen,Denver,CO,Bohemian-Style Pilsener,2014
1561,Bronze,Double Aught,Bear Republic Brewing Co.,Healdsburg,CA,Bohemian-Style Pilsener,2014
1562,Gold,Double Nut Brown,Mammoth Brewing Co.,Mammoth Lakes,CA,Brown Porter,2014
1563,Silver,Black Jack Porter,Left Hand Brewing Co.,Longmont,CO,Brown Porter,2014
1564,Bronze,Power House Porter,Sockeye Brewing,Boise,ID,Brown Porter,2014
1565,Gold,Chocolatized,Pisgah Brewing Co.,Black Mountain,NC,Chocolate Beer,2014
1566,Silver,Death By Coconut,Oskar Blues Brewery,Longmont,CO,Chocolate Beer,2014
1567,Bronze,Sweet Baby Jesus!,DuClaw Brewing Co.,Rosedale,MD,Chocolate Beer,2014
1568,Gold,HopFish,Flying Fish Brewing Co.,Somerdale,NJ,Classic English-Style Pale Ale,2014
1569,Silver,Caldera Ashland Amber,Caldera Brewing Co.,Ashland,OR,Classic English-Style Pale Ale,2014
1570,Bronze,Extra Pale Ale,Summit Brewing Co.,Saint Paul,MN,Classic English-Style Pale Ale,2014
1571,Gold,Irish Table,Fonta Flora Brewery,Morganton,NC,Classic Irish-Style Dry Stout,2014
1572,Silver,Shaft House Stout,Dostal Alley Brewpub & Casino,Central City,CO,Classic Irish-Style Dry Stout,2014
1573,Bronze,Asphalt Jungle,Bagby Beer Co.,Oceanside,CA,Classic Irish-Style Dry Stout,2014
1574,Gold,Mocha Machine,Beachwood BBQ & Brewing,Long Beach,CA,Coffee Beer,2014
1575,Silver,Batshit Crazy,MobCraft Beer,Madison,WI,Coffee Beer,2014
1576,Bronze,Ascension,Community Beer Co.,Dallas,TX,Coffee Beer,2014
1577,Gold,The Weasel,CB & Potts Restaurant & Brewery - Highlands Ranch,Highlands Ranch,CO,Dortmunder or German-Style Oktoberfest,2014
1578,Silver,Rolling Thunder Dortmunder,Snake River Brewing,Jackson,WY,Dortmunder or German-Style Oktoberfest,2014
1579,Bronze,Move Back,The Sandlot,Denver,CO,Dortmunder or German-Style Oktoberfest,2014
1580,Gold,Sir William's English Brown Ale,Grapevine Craft Brewery,Grapevine,TX,English-Style Brown Ale,2014
1581,Bronze,Bonanza Brown Ale,Tenaya Creek Brewery,Las Vegas,NV,English-Style Brown Ale,2014
1582,Gold,Tumbleweed IPA,Lewis & Clark Brewing Co.,Helena,MT,English-Style India Pale Ale,2014
1583,Silver,Gatecrasher IPA,Temperance Beer Co.,Evanston,IL,English-Style India Pale Ale,2014
1584,Bronze,Burton IPA,Iron Hill Brewery & Restaurant - Media,Media,PA,English-Style India Pale Ale,2014
1585,Gold,Workman's Compensation,Lion Bridge Brewing Co.,Cedar Rapids,IA,English-Style Mild Ale,2014
1586,Silver,Mamoot Mild Ale,Logboat Brewing Co.,Columbia,MO,English-Style Mild Ale,2014
1587,Bronze,S.S. Minnow Mild Ale,Dry Dock Brewing Co. - South Dock,Aurora,CO,English-Style Mild Ale,2014
1588,Gold,True Blonde Ale,Ska Brewing Co.,Durango,CO,English-Style Summer Ale,2014
1589,Silver,Ale 208,Grand Teton Brewing,Victor,ID,English-Style Summer Ale,2014
1590,Bronze,Surfer's Summer Ale,Pelican Brewing Co.,Tillamook,OR,English-Style Summer Ale,2014
1591,Gold,Chuckanut Dunkel,Chuckanut Brewery,Bellingham,WA,European-Style Dunkel,2014
1592,Silver,Buoy Dunkel,Buoy Beer Co.,Astoria,OR,European-Style Dunkel,2014
1593,Bronze,Dunkles,Gordon Biersch Brewing Co.,San Jose,CA,European-Style Dunkel,2014
1594,Gold,Key Lime Pie,Short's Brewing Co.,Elk Rapids,MI,Experimental Beer,2014
1595,Silver,Redrock Paardebloem,Redrock Brewing Co.,Salt Lake City,UT,Experimental Beer,2014
1596,Bronze,Black Project #1,Former Future Brewing Co.,Denver,CO,Experimental Beer,2014
1597,Gold,Public Ale,Community Beer Co.,Dallas,TX,Extra Special Bitter,2014
1598,Silver,RedFish,Flying Fish Brewing Co.,Somerdale,NJ,Extra Special Bitter,2014
1599,Bronze,14° ESB,Bent Paddle Brewing Co.,Duluth,MN,Extra Special Bitter,2014
1600,Gold,Cucumber Crush,10 Barrel Brewing Co.,Bend,OR,Field Beer,2014
1601,Silver,3 Pepper Ale,Rock Bottom Breweries,Broomfield,CO,Field Beer,2014
1602,Bronze,Elektrick Cukumbahh,Trinity Brewing Co.,Colorado Springs,CO,Field Beer,2014
1603,Gold,Void of Light,Gun Hill Brewing Co.,Bronx,NY,Foreign-Style Stout,2014
1604,Silver,Wooster New Stout,JAFB Wooster Brewery,Wooster,OH,Foreign-Style Stout,2014
1605,Bronze,San Quentin's Breakout Stout,Marin Brewing Co.,Larkspur,CA,Foreign-Style Stout,2014
1606,Gold,Daily Wages,Brasserie Saint James,Reno,NV,French- and Belgian-Style Saison,2014
1607,Silver,Un Atout,Beachwood BBQ & Brewing,Long Beach,CA,French- and Belgian-Style Saison,2014
1608,Bronze,Saison-Brett,Boulevard Brewing Co.,Kansas City,MO,French- and Belgian-Style Saison,2014
1609,Gold,Fresh Hop Pallet Jack IPA,Barley Brown's Brew Pub,Baker City,OR,Fresh or Wet Hop Ale,2014
1610,Silver,Fresh Hop Superpower IPA,Comrade Brewing Co.,Denver,CO,Fresh or Wet Hop Ale,2014
1611,Bronze,Acequia IPA,Bosque Brewing Co.,Albuquerque,NM,Fresh or Wet Hop Ale,2014
1612,Gold,Apricot Ale,Pyramid Breweries,Seattle,WA,Fruit Wheat Beer,2014
1613,Silver,Peachy Peach,Pagosa Brewing & Grill,Pagosa Springs,CO,Fruit Wheat Beer,2014
1614,Bronze,Wasatch Apricot Hefeweizen,Wasatch Brewery,Park City,UT,Fruit Wheat Beer,2014
1615,Gold,Red Alt,White Bluffs Brewing,Richland,WA,German-Style Altbier,2014
1616,Silver,Dusseldorf Altbier,Redwood Curtain Brewing Co.,Arcata,CA,German-Style Altbier,2014
1617,Bronze,Alt Bier,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,German-Style Altbier,2014
1618,Gold,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,German-Style Doppelbock or Eisbock,2014
1619,Silver,The Kaiser,Avery Brewing Co.,Boulder,CO,German-Style Doppelbock or Eisbock,2014
1620,Bronze,The Regulator,Rahr & Sons Brewing Co.,Fort Worth,TX,German-Style Doppelbock or Eisbock,2014
1621,Gold,Laimas Kolsch,FATE Brewing Co.,Boulder,CO,German-Style Kölsch,2014
1622,Silver,Sun Dazed,Old Town Brewing Co.,Portland,OR,German-Style Kölsch,2014
1623,Bronze,Canoe Paddler,Leinenkugel Brewing Co.,Chippewa Falls,WI,German-Style Kölsch,2014
1624,Gold,Capital Oktoberfest,Capital Brewery Co.,Middleton,WI,German-Style Märzen,2014
1625,Silver,Duck-Rabbit Marzen,The Duck-Rabbit Craft Brewery,Farmville,NC,German-Style Märzen,2014
1626,Bronze,Octoberfest,Abita Brewing Co.,Abita Springs,LA,German-Style Märzen,2014
1627,Gold,Pivo,Firestone Walker Brewing Co.,Paso Robles,CA,German-Style Pilsener,2014
1628,Silver,STS Pils,Russian River Brewing Co.,Santa Rosa,CA,German-Style Pilsener,2014
1629,Bronze,Tiny Bomb,Wiseacre Brewing Co.,Memphis,TN,German-Style Pilsener,2014
1630,Gold,Schwartz Bier,Devils Backbone Brewing Co. - Outpost,Lexington,VA,German-Style Schwarzbier,2014
1631,Silver,Lobo Negro,Pedernales Brewing Co.,Fredericksburg,TX,German-Style Schwarzbier,2014
1632,Bronze,Duck-Rabbit Schwarzbier,The Duck-Rabbit Craft Brewery,Farmville,NC,German-Style Schwarzbier,2014
1633,Gold,Reserve Wheat Ale,Telegraph Brewing Co.,Santa Barbara,CA,German-Style Sour Ale,2014
1634,Silver,Old Pro Gose,Union Craft Brewing,Baltimore,MD,German-Style Sour Ale,2014
1635,Bronze,Berliner Weiss,Fegley's Brew Works,Allentown,PA,German-Style Sour Ale,2014
1636,Gold,AlpenGlow,Fat Head's Brewery & Saloon,North Olmsted,OH,German-Style Wheat Ale,2014
1637,Silver,Weizenbock,13 Virtues Brewing Co.,Portland,OR,German-Style Wheat Ale,2014
1638,Bronze,Saint Arnold Weedwacker,Saint Arnold Brewing Co.,Houston,TX,German-Style Wheat Ale,2014
1639,Gold,Dark Ale,Ground Breaker Brewing,Portland,OR,Gluten-Free Beer,2014
1640,Silver,Glutart,Bonfire Brewing,Eagle,CO,Gluten-Free Beer,2014
1641,Bronze,Liberation Gluten Free,Shine Brewing Co.,Boulder,CO,Gluten-Free Beer,2014
1642,Silver,5 Rabbit Golden Ale,5 Rabbit Cerveceria,Bedford Park,IL,Golden or Blonde Ale,2014
1643,Bronze,Gold,Heavy Seas Beer,Baltimore,MD,Golden or Blonde Ale,2014
1644,Gold,Basil Beer,Blind Tiger Brewery & Restaurant,Topeka,KS,Herb and Spice Beer,2014
1645,Silver,Aloha Piña,5 Stones Artisan Brewery,Cibolo,TX,Herb and Spice Beer,2014
1646,Bronze,Dawn Patrol Breakfast Stout,Coastal Empire Beer Co.,Savannah,GA,Herb and Spice Beer,2014
1647,Gold,Thurston,New Helvetia Brewing Co.,Sacramento,CA,Historical Beer,2014
1648,Silver,White Eagle Smoked Wheat,RAM Restaurant & Brewery - Schaumburg,Schaumburg,IL,Historical Beer,2014
1649,Bronze,Poor Richard's Tavern Spruce,Yards Brewing Co.,Philadelphia,PA,Historical Beer,2014
1650,Gold,Creeper,Columbus Brewing Co.,Columbus,OH,Imperial India Pale Ale,2014
1651,Silver,Hop 15,Port Brewing Co.,San Marcos,CA,Imperial India Pale Ale,2014
1652,Bronze,Pliny the Elder,Russian River Brewing Co.,Santa Rosa,CA,Imperial India Pale Ale,2014
1653,Gold,Imperial Red,Marble Brewery,Albuquerque,NM,Imperial Red Ale,2014
1654,Silver,Hop Donkey Imperial Red Ale,Auburn Alehouse,Auburn,CA,Imperial Red Ale,2014
1655,Bronze,Shark Attack,Port Brewing Co.,San Marcos,CA,Imperial Red Ale,2014
1656,Gold,Quakertown,Armadillo Ale Works,Denton,TX,Imperial Stout,2014
1657,Silver,Double Negative,Grimm Artisanal Ales,Brooklyn,NY,Imperial Stout,2014
1658,Bronze,Narwhal Imperial Stout,Sierra Nevada Brewing Co.,Chico,CA,Imperial Stout,2014
1659,Gold,Salmonberry Sour,Bend Brewing Co.,Bend,OR,Indigenous/Regional Beer,2014
1660,Silver,Choc Lobster,Dogfish Head Brewings & Eats,Rehoboth Beach,DE,Indigenous/Regional Beer,2014
1661,Bronze,Sage Fight IPA,Deschutes Brewery,Bend,OR,Indigenous/Regional Beer,2014
1662,Gold,Hand Truck Pale Ale,Barley Brown's Beer,Baker City,OR,International-Style Pale Ale,2014
1663,Silver,Summer Ale,Fremont Brewing Co.,Seattle,WA,International-Style Pale Ale,2014
1664,Bronze,The Pupil,Societe Brewing Co.,San Diego,CA,International-Style Pale Ale,2014
1665,Gold,Rado's Red Ale,Crow Hop Brewing Co.,Loveland,CO,Irish-Style Red Ale,2014
1666,Silver,Piper Down,Ballast Point Brewing & Spirits - Scripps Ranch,San Diego,CA,Irish-Style Red Ale,2014
1667,Bronze,"""Hydraulion"" Red",Three Notch'd Brewing Co.,Charlottesville,VA,Irish-Style Red Ale,2014
1668,Gold,Gold Beach Lager,Arch Rock Brewing Co.,Gold Beach,OR,Kellerbier or Zwickelbier,2014
1669,Silver,Surfliner Lager,Figueroa Mountain Brewing Co. - Santa Barbara,Santa Barbara,CA,Kellerbier or Zwickelbier,2014
1670,Bronze,18th Rebellion,Horse Thief Hollow,Chicago,IL,Kellerbier or Zwickelbier,2014
1671,Gold,Golden Export,Gordon Biersch Brewery Restaurant,Broomfield,CO,Munich-Style Helles,2014
1672,Silver,Saint Arnold Summer Pils,Saint Arnold Brewing Co.,Houston,TX,Munich-Style Helles,2014
1673,Bronze,Stammtisch Lager,Titletown Brewing Co.,Green Bay,WI,Munich-Style Helles,2014
1674,Gold,Gold Medal Oatmeal Stout,Blue Corn Café and Brewery,Santa Fe,NM,Oatmeal Stout,2014
1675,Silver,Darkside of the Pint,Four Seasons Brewing Co.,Latrobe,PA,Oatmeal Stout,2014
1676,Bronze,Backside Stout,Steamworks Brewing Co.,Durango,CO,Oatmeal Stout,2014
1677,Gold,Arctic Alchemy,Fegley's Brew Works,Allentown,PA,Old Ale or Strong Ale,2014
1678,Silver,Old Scrooge,Silver City Brewery,Bremerton,WA,Old Ale or Strong Ale,2014
1679,Bronze,Good Faith,Discretion Brewing,Soquel,CA,Old Ale or Strong Ale,2014
1680,Gold,London Homesick Ale,"Oasis, Texas Brewing Co.",Austin,TX,Ordinary or Special Bitter,2014
1681,Silver,Cutthroat,Uinta Brewing Co.,Salt Lake City,UT,Ordinary or Special Bitter,2014
1682,Bronze,Wisco Disco,Stillmank Brewing Co.,Green Bay,WI,Ordinary or Special Bitter,2014
1683,Gold,Witty Moron,Stone Brewing World Bistro & Gardens - Liberty Station,San Diego,CA,Other Belgian-Style Ale,2014
1684,Silver,La Querelle,Mystery Brewing Co.,Hillsborough,NC,Other Belgian-Style Ale,2014
1685,Bronze,Darth Delirium,Broken Tooth Brewing,Anchorage,AK,Other Belgian-Style Ale,2014
1686,Gold,Double White,Marble Brewery,Albuquerque,NM,Other Strong Beer,2014
1687,Silver,Shadow of the Moon Imperial Stout,Flossmoor Station Brewing Co.,Flossmoor,IL,Other Strong Beer,2014
1688,Bronze,Aphotic Imperial Porter,High Water Brewing,Chico,CA,Other Strong Beer,2014
1689,Gold,Wolaver's Pumpkin Ale,Otter Creek Brewing Co.,Middlebury,VT,Pumpkin Beer,2014
1690,Silver,Spiced Harvest,Old Dominion Brewing Co.,Dover,DE,Pumpkin Beer,2014
1691,Bronze,Whole Hog Pumpkin Ale,Stevens Point Brewery,Stevens Point,WI,Pumpkin Beer,2014
1692,Gold,Pop's Porter,Wynwood Brewing Co.,Miami,FL,Robust Porter,2014
1693,Silver,Porter,Founders Brewing Co.,Grand Rapids,MI,Robust Porter,2014
1694,Bronze,Peck's Porter,Tapistry Brewing Co.,Bridgman,MI,Robust Porter,2014
1695,Gold,Rye Pale Ale,The Civil Life Brewing Co.,St. Louis,MO,Rye Beer,2014
1696,Silver,Rye of the Tiger,Iron Hill Brewery & Restaurant - Media,Media,PA,Rye Beer,2014
1697,Bronze,Rockchuck Rye,Lander Brewing Co.,Lander,WY,Rye Beer,2014
1698,Gold,Wee Heavy,Steel Toe Brewing,St. Louis Park,MN,Scotch Ale,2014
1699,Silver,Loch,BRU Handbuilt Ales & Eats,Boulder,CO,Scotch Ale,2014
1700,Bronze,Highland Marauder,Morgan Territory Brewing,Antioch,CA,Scotch Ale,2014
1701,Gold,Scottish Pride,McHale's Brewhouse,Chattanooga,TN,Scottish-Style Ale,2014
1702,Silver,Back Country Scottish Ale,Lewis & Clark Brewing Co.,Helena,MT,Scottish-Style Ale,2014
1703,Bronze,McGreagor Scottish Ale,Kootenai River Brewing Co.,Bonners Ferry,ID,Scottish-Style Ale,2014
1704,Gold,Oatmeal Stout,Benchmark Brewing Co.,San Diego,CA,Session Beer,2014
1705,Silver,Guillaume,Pizza Port Ocean Beach,Ocean Beach,CA,Session Beer,2014
1706,Bronze,Mosaic Session Ale,Karl Strauss Brewing Co. - La Jolla,La Jolla,CA,Session Beer,2014
1707,Gold,Rauchbier,Gordon Biersch Brewery Restaurant - Annapolis,Annapolis,MD,Smoke Beer,2014
1708,Silver,Smokejumper Smoked Imperial Porter,Left Hand Brewing Co.,Longmont,CO,Smoke Beer,2014
1709,Bronze,Alaskan Smoked Porter 2013,Alaskan Brewing Co.,Juneau,AK,Smoke Beer,2014
1710,Gold,Little Egypt Hefeweizen,Carbondale Craft Beer,Carbondale,IL,South German-Style Hefeweizen,2014
1711,Silver,Hefeweizen,Black Market Brewing Co.,Temecula,CA,South German-Style Hefeweizen,2014
1712,Bronze,Washout Wheat,Holy City Brewing,Charleston,SC,South German-Style Hefeweizen,2014
1713,Gold,Campfire Stout,High Water Brewing,Chico,CA,Specialty Beer,2014
1714,Silver,Maple Tripple Ale,Lawson's Finest Liquids,Warren,VT,Specialty Beer,2014
1715,Bronze,Nutcase Peanut Butter Porter,Listermann/Triple Digit Brewing Co.,Cincinnati,OH,Specialty Beer,2014
1716,Gold,Mampara,Wicked Weed Brewing Funkatorium,Asheville,NC,Specialty Honey Beer,2014
1717,Silver,Mexican Honey,Indeed Brewing Co.,Minneapolis,MN,Specialty Honey Beer,2014
1718,Bronze,Blue Moon Honey Grand Cru,Blue Moon Brewing Co.,Denver,CO,Specialty Honey Beer,2014
1719,Gold,West O CocO,West O Beer,West Okoboji,IA,Sweet Stout or Cream Stout,2014
1720,Silver,Milk Stout,Left Hand Brewing Co.,Longmont,CO,Sweet Stout or Cream Stout,2014
1721,Bronze,Outlaw Milk Stout,Great Basin Brewing Co. - Reno,Reno,NV,Sweet Stout or Cream Stout,2014
1722,Gold,Danish Red Lager,Figueroa Mountain Brewing Co. - Buellton,Buellton,CA,Vienna-Style Lager,2014
1723,Silver,Gumps,Platt Park Brewing Co.,Denver,CO,Vienna-Style Lager,2014
1724,Bronze,VTwin,Motorworks Brewing,Bradenton,FL,Vienna-Style Lager,2014
1725,Gold,Bourbon Barrel Drafty Kilt,Monday Night Brewing,Atlanta,GA,Wood- and Barrel-Aged Beer,2014
1726,Silver,Private Stock #472,Bastone Brewery,Royal Oak,MI,Wood- and Barrel-Aged Beer,2014
1727,Bronze,Reintarnation,Ei8ht Ball Brewing,Newport,KY,Wood- and Barrel-Aged Beer,2014
1728,Gold,Sour Beer #2,Two Brothers Brewing Co.,Warrenville,IL,Wood- and Barrel-Aged Sour Beer,2014
1729,Silver,Recolte Du Bois - Apricot,Tahoe Mountain Brewing Co. - Truckee,Truckee,CA,Wood- and Barrel-Aged Sour Beer,2014
1730,Bronze,"Yazoo Embrace the Funk ""Cherry Deux Rouges""",Yazoo Brewing Co.,Nashville,TN,Wood- and Barrel-Aged Sour Beer,2014
1731,Gold,Lonesome Dove,Sun King Brewery,Indianapolis,IN,Wood- and Barrel-Aged Strong Beer,2014
1732,Silver,Barrel Aged 666: Sympathy for the Devil,Sun King Brewery,Indianapolis,IN,Wood- and Barrel-Aged Strong Beer,2014
1733,Bronze,Buffalo Bock,Minneapolis Town Hall Brewery,Minneapolis,MN,Wood- and Barrel-Aged Strong Beer,2014
1734,Gold,A Night to End All Dawns,Kane Brewing Co.,Ocean,NJ,Wood- and Barrel-Aged Strong Stout,2014
1735,Silver,Bourbon Barrel Aged Dark Star,Fremont Brewing Co.,Seattle,WA,Wood- and Barrel-Aged Strong Stout,2014
1736,Bronze,Jaguar Shark,Pinthouse Pizza Craft Brewpub,Austin,TX,Wood- and Barrel-Aged Strong Stout,2014
1737,Gold,Lovely,Bend Brewing Co.,Bend,OR,Aged Beer,2013
1738,Silver,2009 Big Black Voodoo Daddy,Voodoo Brewery,Meadville,PA,Aged Beer,2013
1739,Bronze,COLOSSAL ONE,Port City Brewing Co.,Alexandria,VA,Aged Beer,2013
